Date,Person_ID,Age,Gender,Sleep Start Time,Sleep End Time,Total Sleep,SleepQ,Exercise(mins/day),Caffeine Intake (mg),Screen Time Before Bed (mins),Work Hours (hrs/day),Productivity Score,Mood Score,Stress Level
2024-04-12,1860,32.0,Other,23.33,4.61,5.28,3.0,86.0,87.0,116.0,8.80892009394567,8,3,6
2024-11-04,1769,41.0,Female,21.02,2.43,5.41,5.0,32.0,21.0,88.0,6.329833121584335,10,3,7
2024-08-31,2528,20.0,Male,22.1,3.45,5.35,7.0,17.0,88.0,59.0,8.506305742764315,10,9,10
2024-02-22,8041,37.0,Other,23.1,6.65,7.55,8.0,46.0,34.0,80.0,6.070239852800135,8,4,2
2024-02-23,4843,46.0,Other,21.42,4.17,6.75,10.0,61.0,269.0,94.0,11.374993880184936,8,7,9
2024-07-08,7439,38.0,Male,21.77,6.41,8.64,10.0,88.0,251.0,123.0,6.207993456180347,1,9,7
2024-01-09,6463,18.0,Other,22.83,6.87,8.03,3.0,34.0,288.0,122.0,4.592357213872723,7,10,9
2024-01-28,7278,26.0,Female,20.78,3.14,6.35,8.0,36.0,98.0,171.0,9.100459770841706,3,1,3
2024-04-10,9110,31.0,Other,20.07,3.37,7.31,7.0,26.0,206.0,14.0,4.887126566494651,3,7,1
2024-02-21,6116,49.0,Female,20.37,3.89,7.52,4.0,12.0,159.0,70.0,6.318011623310144,6,2,10
2024-02-14,3693,45.0,Female,21.17,3.29,6.12,7.0,88.0,230.0,128.0,5.8234813003355335,9,4,9
2024-09-15,8526,23.0,Other,20.6,4.56,7.96,10.0,43.0,151.0,58.0,6.585623456166042,8,9,4
2024-04-22,2853,29.0,Female,22.02,6.08,8.06,5.0,55.0,80.0,112.0,11.812919646661223,6,7,5
2024-08-11,8392,18.0,Other,21.02,4.17,7.15,10.0,31.0,197.0,159.0,8.741573791035147,7,8,1
2024-09-11,5389,41.0,Male,23.55,7.22,7.67,1.0,72.0,123.0,69.0,9.566502454327054,3,4,4
